單字,翻譯,英文例句,中文例句,単字
infrastructure,基礎建設,Government spending on infrastructure increased.,政府在基礎建設的支出增加了。,
inspection,檢查；視察,Safety inspection is scheduled for next week.,安全檢查定於下週進行。,
install,安裝；設置,They will install new software tomorrow.,他們明天會安裝新軟體。,
installment,分期付款；期付款,You can pay in three monthly installments.,你可以分三期付款。,
insurance,保險,Car insurance premiums have risen.,汽車保險費用上漲了。,
integrate,整合；融合,The new system integrates multiple databases.,新系統整合了多個資料庫。,
interim,臨時的；過渡的,An interim manager was appointed.,已任命一位臨時經理。,
interpret,解釋；翻譯,Could you interpret this report for me?,你能為我解釋這份報告嗎？,
investment,投資；投入,Real estate is a common investment.,不動產是一種常見的投資。,
invoice,發票；開票,Please send the invoice by email.,請透過電子郵件寄送發票。,
involve,涉及；使參與,This project will involve multiple departments.,此專案將涉及多個部門。,
itinerary,行程表,The travel agent created a detailed itinerary.,旅遊代理商製作了詳盡的行程表。,
launch,發射；推出,They plan to launch the new product next month.,他們計劃下月推出新產品。,
maintenance,維護；保養,Regular maintenance extends the machine’s life.,定期維護可延長機器壽命。,
negotiate,談判；協商,They will negotiate the contract terms.,他們將協商合約條款。,
obligation,義務；責任,You have an obligation to pay rent on time.,你有按時支付租金的義務。,
obtain,取得；獲得,You must obtain approval before proceeding.,在繼續之前你必須獲得批准。,
outstanding,傑出的；未完成的,She did outstanding work on the project.,她在該專案中表現出色。,
outsource,外包,The company decided to outsource IT services.,公司決定將IT服務外包。,
package,包裹；套餐,The travel package includes flights and hotel.,旅遊套餐包含機票和住宿。,
participant,參與者,Participants provided valuable feedback.,參與者提供了寶貴的回饋。,
payroll,薪資名單；薪酬,Payroll will be processed on Friday.,薪資將於週五處理。,
percentage,百分比,A high percentage of customers are satisfied.,高百分比的顧客感到滿意。,
policy,政策；保單,The company updated its privacy policy.,公司更新了隱私政策。,
portfolio,作品集；投資組合,She updated her design portfolio.,她更新了設計作品集。,
presentation,簡報；演示,His presentation was well-received.,他的簡報廣受好評。,
priority,優先；優先權,Safety is our top priority.,安全是我們的首要任務。,
procedure,程序；手續,Follow the proper procedure for returns.,退貨請遵循正確的程序。,
productivity,生產力；效率,Software improved team productivity.,軟體提升了團隊生產力。,
promotion,促銷；晉升,She received a promotion last month.,她在上個月獲得了晉升。,
purchase,購買；採購,They will purchase new equipment soon.,他們很快會購買新設備。,
